,index,utterance,intentClass
4456,4457,report clinkz please,A
4457,4458,lol,O
4458,4459,jajaja pusher [SEPA] ajo,O
4459,4460,road to 5k,O
4460,4461,wp wr [SEPA] almost got me,O
4461,4462,for pussy abuse,E
4462,4463,i thought it be over in 25 minutes,O
4463,4464,wp guys,O
4464,4465,WP,O
4465,4466,ez,I
4466,4467,2,O
4467,4468,WIPE,O
4468,4469,And yours is about as autistic as you are.,O
4469,4470,crashed [SEPA] hes coming [SEPA] joining the game :),O
4470,4471,haha,O
4471,4472,idk bro [SEPA] seems risky,O
4472,4473,liar [SEPA] HE'S NOT COMING BACK,O
4473,4474,SUP CM,A
4474,4475,"No doubt [SEPA] Spit on peeps, go invis n bounce",O
4475,4476,I DIED TO BOUNCES ON CREREPS? [SEPA] EWTD,O
4476,4477,.... [SEPA] hes gone,O
4477,4478,Wtf [SEPA] why are u guys [SEPA] playing like pussies,E
4478,4479,gg wp,O
4479,4480,go win thus game [SEPA] dont talk to much,O
4480,4481,dw i alrady [SEPA] did,O
4481,4482,mute this alc,O
4482,4483,sure [SEPA] more?,O
4483,4484,gg,O
4484,4485,want me? [SEPA] lol,O
4485,4486,fail buying fuckl my money,E
4486,4487,EZ,I
4487,4488,ok,O
4488,4489,)) [SEPA] reported [SEPA] pudge,E
4489,4490,hahaha,O
4490,4491,5v5 rs pit leggo [SEPA] tp bot all everyone,O
4491,4492,ggwp,O
4492,4493,hahahha,O
4493,4494,run away is good idea [SEPA] ^^,O
4494,4495,look at the score diff of mid,O
4495,4496,KA BOOOOM,O
4496,4497,^^,O
4497,4498,that all you can say faggot? [SEPA] this is how u play [SEPA] pick [SEPA] try counterpick,O
4498,4499,wp,O
4499,4500,random drop...,O
4500,4501,idiot magnus,E
4501,4502,me gusta el slarkino,O
4502,4503,Ez mmr :),I
4503,4504,Wp [SEPA],O
4504,4505,bye],O
4505,4506,u haven't been useful at all [SEPA] just flaming people all game long [SEPA] bad game,O
4506,4507,dont predict idiot [SEPA] fucking radiant,E
4507,4508,Gg wp,O
4508,4509,dota is really hard [SEPA] when its 3v7,O
4509,4510,it is not hero [SEPA] in this game,O
4510,4511,he learned it well [SEPA] ggwp,O
4511,4512,oyoyoy,O
4512,4513,yeahhh ithought u will dead [SEPA] [SEPA] not enough damage fisure,O
4513,4514,lion support ( tranquil ),O
4514,4515,pfft,O
4515,4516,.qw3kje kowqnheui49jqwmke yqakmsd fvbr2uwieoakf8u49gjirufjnghyju3iuwjfmg h4ijuwiksdfuyiMuyijamjy879ialnbyhabhgl;gnholb,O
4516,4517,))),O
4517,4518,pls fair,A
4518,4519,ggwp,O
4519,4520,THX FOR THROW,O
4520,4521,lol,O
4521,4522,all about hte majors tomorrow [SEPA] unknown vs VG,O
4522,4523,haha,O
4523,4524,ahh yes [SEPA] the jokes,O
4524,4525,),O
4525,4526,FUCK TEAM WANT FARM 247,E
4526,4527,rq?,O
4527,4528,comdy carry,O
4528,4529,russia,E
4529,4530,gg,O
4530,4531,gg,O
4531,4532,if only,O
4532,4533,he calling it in spanish [SEPA] 'p,E
4533,4534,y,O
4534,4535,ez botlane?,I
4535,4536,tards english,E
4536,4537,ez? [SEPA] u died,I
4537,4538,zeus your ulti [SEPA] cus my d2 to crash,O
4538,4539,lol rngesus,O
4539,4540,this is solo mmr :)),O
4540,4541,what?,O
4541,4542,easy.,O
4542,4543,gg,O
4543,4544,wow [SEPA] kms,O
4544,4545,3 feeders [SEPA] gg,O
4545,4546,why pick 4 carries,O
4546,4547,lol,O
4547,4548,10 yah [SEPA] shit,E
4548,4549,aw [SEPA] almost,O
4549,4550,only if you come as 5,O
4550,4551,"? [SEPA] Ez ,od [SEPA] mid",I
4551,4552,KITE,O
4552,4553,Wtf,O
4553,4554,gg,O
4554,4555,feed?,E
4555,4556,free mmr,O
4556,4557,gg [SEPA] sf [SEPA] ocatarine alch is the new meta [SEPA] too stronk [SEPA] see?,O
4557,4558,ne contrita,O
4558,4559,gege,O
4559,4560,THANKS FOR FREE MMR,O
4560,4561,nah [SEPA] probsn ot,O
4561,4562,report sniper ty,A
4562,4563,would've delayed the inevtable,O
4563,4564,"same as viper,he panics and doesnt know which one to dagon first",O
4564,4565,lol [SEPA] ezz,O
4565,4566,lol,O
4566,4567,you dont let me farm for DR [SEPA] okeyyy,O
4567,4568,yA BCAUSE OF UR NAME,O
4568,4569,2 games in a row fucked by him,E
4569,4570,[SEPA] no pause,A
4570,4571,gg,O
4571,4572,well invoker said he can mid [SEPA] HAHA,O
4572,4573,¡?¡?,O
4573,4574,D: [SEPA] i just wanted,O
4574,4575,GG,O
4575,4576,GG,O
4576,4577,lol [SEPA] slark 2.4k,O
4577,4578,END GUYS,O
4578,4579,g,A
4579,4580,really report invoker and the morons i have in grp ?,E
4580,4581,ez bait,I
4581,4582,add him [SEPA] freind of yours jugg?,O
4582,4583,CLOACK,O
4583,4584,B [SEPA] ' B' [SEPA] ' b ' [SEPA] its hard for him,O
4584,4585,gj,O
4585,4586,i was aloone,O
4586,4587,u spam skill on tiny [SEPA] idiot,E
4587,4588,ggwp,O
4588,4589,4head,O
4589,4590,why?,O
4590,4591,fuck u,E
4591,4592,gg,O
4592,4593,Hphhp,O
4593,4594,g,A
4594,4595,nah,O
4595,4596,ggwp,O
4596,4597,lmao,O
4597,4598,cumback,E
4598,4599,end,O
4599,4600,klool,O
4600,4601,you play or?,O
4601,4602,lucky,O
4602,4603,gg :) [SEPA] God bless.,O
4603,4604,g [SEPA] g,A
4604,4605,GG,O
4605,4606,gg,O
4606,4607,),O
4607,4608,pause,A
4608,4609,gg,O
4609,4610,wr,O
4610,4611,he needs farm,O
4611,4612,gayish doom picker,E
4612,4613,NOOB ENEMY,E
4613,4614,worse slark ever,E
4614,4615,ty,O
4615,4616,gg wp,O
4616,4617,fuck this game,E
4617,4618,ty,O
4618,4619,here [SEPA] wp,O
4619,4620,44455,O
4620,4621,see hes still offline,O
4621,4622,XD,O
4622,4623,the sven talking,O
4623,4624,[SEPA] NotLikeThis,E
4624,4625,report them pls,A
4625,4626,fuck off,E
4626,4627,commend me,A
4627,4628,miss clicked f9 XDd,A
4628,4629,NOOB [SEPA] easy mider,E
4629,4630,my farm suck i know dp,E
4630,4631,:D,O
4631,4632,pinoy noob,E
4632,4633,fact,O
4633,4634,Wrekt,O
4634,4635,i mean [SEPA] there's really nothing [SEPA] to do [SEPA] it's what happens when gyro afks [SEPA] for 20 min,O
4635,4636,:( [SEPA] slojno,O
4636,4637,WHAT KIND OF JOKE IS THAT?,O
4637,4638,slow,O
4638,4639,SO MANY?,O
4639,4640,ok,O
4640,4641,haha,O
4641,4642,Wp ;D [SEPA] Invok,O
4642,4643,?,O
4643,4644,nice rapier,O
4644,4645,realy?,O
4645,4646,0-9 alche mid,I
4646,4647,ya,O
4647,4648,i love this [SEPA] love u,O
4648,4649,mumbarak,O
4649,4650,he have problem [SEPA] guys [SEPA] pls [SEPA] w8,A
4650,4651,stop tryharding lina,O
4651,4652,hahhaha,O
4652,4653,in game,O
4653,4654,game,O
4654,4655,ikr,O
4655,4656,haha,O
4656,4657,keep sandstorming mid lane,O
4657,4658,[SEPA] [SEPA] noobs [SEPA] easy,E
4658,4659,so we're gonna until tomorrow,O
4659,4660,gg,O
4660,4661,pudge,O
4661,4662,Pro last picker ever. [SEPA] GG FV,O
4662,4663,teaching,O
4663,4664,*sereuse,O
4664,4665,ye,O
4665,4666,im a piece of shit apperently,E
4666,4667,yea [SEPA] like aghs [SEPA] XD,O
4667,4668,just do it!!!!!!,O
4668,4669,u know mad man ?,O
4669,4670,Epic WR riki,O
4670,4671,i know how to count,O
4671,4672,wp- all please report ember [SEPA] lets not have him in next game,A
4672,4673,TF,O
4673,4674,and u pro magina ?,O
4674,4675,lol,O
4675,4676,haha,O
4676,4677,u are aware im having 4 12.,I
4677,4678,THEY CRY,I
4678,4679,ikr,O
4679,4680,maybe i let am do wardinmg job...,O
4680,4681,noob dire,E
4681,4682,dont blame him [SEPA] hes noob,E
4682,4683,wp,O
4683,4684,nice ult,O
4684,4685,good choise wk [SEPA] good one,O
4685,4686,he said put tank in a mall,O
4686,4687,commend me ::),A
4687,4688,nc game,O
4688,4689,;),O
4689,4690,we know,O
4690,4691,LOL,O
4691,4692,gg,O
4692,4693,report oracle ksing,A
4693,4694,before abbandon,O
4694,4695,HAHAHA,O
4695,4696,add him [SEPA] T> TB aracana,O
4696,4697,i play with u b4,O
4697,4698,[SEPA] NO [SEPA] IF U DIDNT DO THAT CLOCK [SEPA] it's always u [SEPA] i bet u fuckign have a crush on satan [SEPA] following sf around and killing him like this [SEPA] am I right?,E
4698,4699,fg [SEPA] g,A
4699,4700,im gonna be a good boy and not fountain hook :D,O
4700,4701,na we all knew what u wanted,O
4701,4702,ez,O
4702,4703,aways murmuring slark ks lord noob,E
4703,4704,?,O
4704,4705,es you lie to me,O
4705,4706,Swan,O
4706,4707,and lost 2,O
4707,4708,Fuckyou too :) [SEPA] Fair?,E
4708,4709,lmao,O
4709,4710,haha,O
4710,4711,did this alch really go sb? [SEPA] lol,O
4711,4712,kk,O
4712,4713,:D,O
4713,4714,im begging,O
4714,4715,OLEG,O
4715,4716,luna jungle is legit,O
4716,4717,gg,O
4717,4718,lol,O
4718,4719,drow,O
4719,4720,sniper,O
4720,4721,lolwut,O
4721,4722,ouch,O
4722,4723,enjoy your 420 day ban,O
4723,4724,OCMON! [SEPA] waste of time,O
4724,4725,a slutty rock,O
4725,4726,hey wd [SEPA] i was that fucking TA,E
4726,4727,1 vs 1,O
4727,4728,end it [SEPA] finally,O
4728,4729,"ez mid, said sf",I
4729,4730,gg wp,O
4730,4731,Not a russian server,E
4731,4732,Am reported,E
4732,4733,pick [SEPA] pick techies,O
4733,4734,for count down,O
4734,4735,hey clock [SEPA] i love you,O
4735,4736,:D,O
4736,4737,damn noisy,O
4737,4738,Ez game,E
4738,4739,:D [SEPA] u love my ass?',E
4739,4740,ye it was not,O
4740,4741,nice one sf lucky,O
4741,4742,why you so rich,O
4742,4743,when did i have fun playing dota.... [SEPA] i forgot,O
4743,4744,whatever,O
4744,4745,gg,O
4745,4746,"plz, stop [SEPA] stop talking",O
4746,4747,?,O
4747,4748,IM PRO,O
4748,4749,they shoukld delete [SEPA] its for noobs,E
4749,4750,damn,O
4750,4751,Tping out,O
4751,4752,FUCK U KINKAA,E
4752,4753,report wr wants dual [SEPA],A
4753,4754,gracias,O
4754,4755,you lost anyways,O
4755,4756,HEY WE ALREADY WAIT U [SEPA] WAIT THIS SLARDAR [SEPA] NOW WTF ARE U DOING?,E
4756,4757,WOW,O
4757,4758,EZ,I
4758,4759,ff plz [SEPA] ez,I
4759,4760,this sk [SEPA] so cancer [SEPA],E
4760,4761,another great suppor,O
4761,4762,then im 10 sec shorer,O
4762,4763,players*,O
4763,4764,:*,O
4764,4765,aba [SEPA] never look back [SEPA] trash,E
4765,4766,ROFL,O
4766,4767,could you stop,O
4767,4768,no point in illuminate,O
4768,4769,gg,O
4769,4770,wp jugg,O
4770,4771,XD,O
4771,4772,have unplayabel laggs,O
4772,4773,1 mother fucker [SEPA] donnt B happy [SEPA] he will ply with u next gamne [SEPA] B,E
4773,4774,ez game ez life,I
4774,4775,ggwp [SEPA] haha,O
4775,4776,k [SEPA] ragequit,I
4776,4777,same,O
4777,4778,so noob this trx,E
4778,4779,Told ya,O
4779,4780,iw as guna try it klast time too,O
4780,4781,AWw [SEPA] AWWW,O
4781,4782,dont blame me,O
4782,4783,fuck yourself,E
4783,4784,GG,O
4784,4785,[SEPA] gg,O
4785,4786,legion all time farm in your jungle [SEPA] fuking noob,E
4786,4787,not if there is a lc making space for you,O
4787,4788,Dazzle killed u,O
4788,4789,olé,O
4789,4790,?,O
4790,4791,:o,O
4791,4792,?,O
4792,4793,report weaver,A
4793,4794,i did it [SEPA] invoker [SEPA] hahahaah,O
4794,4795,b,O
4795,4796,free,O
4796,4797,tnx men,O
4797,4798,and doing nothing,O
4798,4799,hes gone,O
4799,4800,wait,A
4800,4801,gg,O
4801,4802,ggwp,O
4802,4803,rofl ez son,I
4803,4804,HAHAAH [SEPA] can we end already,O
4804,4805,NICE [SEPA] PUDGE SUCK,E
4805,4806,ass hole,E
4806,4807,check my,O
4807,4808,ggwp,O
4808,4809,Hahah,O
4809,4810,:P [SEPA] say thanks for the save invo,O
4810,4811,fcj,E
4811,4812,report void for going necro,A
4812,4813,we are rip [SEPA] Game is kill,O
4813,4814,we fuckin won,E
4814,4815,you got me bois [SEPA] it was worth it [SEPA] dunno what did i do to you,O
4815,4816,I see,O
4816,4817,ez inv,I
4817,4818,LOL,O
4818,4819,wp magnus,O
4819,4820,KID,E
4820,4821,k,O
4821,4822,jajajajaja,O
4822,4823,Ggwp,O
4823,4824,lel,O
4824,4825,wtf [SEPA] guys realy,O
4825,4826,NOPE,O
4826,4827,p game ?,O
4827,4828,kappa!,O
4828,4829,Hahaha,O
4829,4830,lol,O
4830,4831,no ending,O
4831,4832,best SF,O
4832,4833,cant do it,O
4833,4834,,O
4834,4835,fingered hard,O
4835,4836,i'm your yellow player,O
4836,4837,Lol,O
4837,4838,? [SEPA] its gonna be,O
4838,4839,WP,O
4839,4840,mag,O
4840,4841,ty,O
4841,4842,ty,O
4842,4843,nice random,O
4843,4844,:> [SEPA] es what is tha plan,O
4844,4845,gg,O
4845,4846,no the lag is real [SEPA] wow,O
4846,4847,1v1 top of ur,O
4847,4848,wtf is that [SEPA] feel like hit wall,O
4848,4849,am,O
4849,4850,SEND THE COURIER,O
4850,4851,gg,O
4851,4852,topo,O
4852,4853,its always u [SEPA] i am u [SEPA] idc what any one says [SEPA] u and slark [SEPA] r getting,O
4853,4854,pc just shuit down,A
4854,4855,the mind games,O
4855,4856,haha,O
4856,4857,gg,O
4857,4858,lol,O
4858,4859,i tot ancient ==,O
4859,4860,we play safe all not aggresive plays,O
4860,4861,4k6?,O
4861,4862,easiest [SEPA] game [SEPA] of my life,I
4862,4863,gg,O
4863,4864,?,O
4864,4865,he`s don`t so important [SEPA] guys [SEPA] d0 [SEPA] :D [SEPA] be true,O
4865,4866,i love how this was telling me to relax that we won this,O
4866,4867,didnt even saw u,O
4867,4868,gg wp,O
4868,4869,MANTA CUMING,O
4869,4870,EZ [SEPA] EZ,I
4870,4871,GG [SEPA] wez,O
4871,4872,haha,O
4872,4873,youre both playing noob heroes [SEPA] cmon niggas,E
4873,4874,only talk,O
4874,4875,We like rn ahaha [SEPA] we want rm ahaha,O
4875,4876,easy mid,O
4876,4877,"to be fair, bane does counter abba pretty hard [SEPA] boom baby",I
4877,4878,report him if he come bcak,A
4878,4879,wp tiny,O
4879,4880,Ikr [SEPA] REkt,O
4880,4881,nice,O
4881,4882,veno [SEPA] uninstalld ota [SEPA] faggot,E
4882,4883,you fucking mind,E
4883,4884,ez peru,E
4884,4885,haha,O
4885,4886,SEc please [SEPA] Srg [SEPA] SUTRALIAN ITNERNET WOO,O
4886,4887,wtf [SEPA] heal [SEPA] bs [SEPA] :D,O
4887,4888,"i WAS LVL [SEPA] WHEN YOUR STRONGER HERO, MIRA, WAS 9 [SEPA] IMAGINE ALL THE PEOPLE [SEPA] JOHN LENNON [SEPA] PEACE AND LOST [SEPA] TO ALL DOTA ZEROS",O
4888,4889,"mad? [SEPA] are you mad, son",I
4889,4890,7 [SEPA] 6,A
4890,4891,gg wp,O
4891,4892,i rape really,E
4892,4893,but team wanna fuck me,E
4893,4894,"Reported tide, didnt send picks of vagina",E
4894,4895,please def,A
4895,4896,yeah nice butterfly,O
4896,4897,didnt have one sided game [SEPA] in a while? [SEPA] we dont play same game,O
4897,4898,jajajajaj,O
4898,4899,ggwp,O
4899,4900,oh,O
4900,4901,5v4,O
4901,4902,end fast,O
4902,4903,lion [SEPA] you can leave now,O
4903,4904,stfu brood nobody speaks with last pick brood,E
4904,4905,RAT DOTA [SEPA] LOL,O
4905,4906,report pls undiyng,A
4906,4907,this druid doesn't give items to [SEPA] what a great sylla,O
4907,4908,well at least you're trying,O
4908,4909,report him,A
4909,4910,gg,O
4910,4911,cai dm than kinh ak,O
4911,4912,gg,O
4912,4913,gg,O
4913,4914,GG,O
4914,4915,whwere u frduikfaimcl lion,O
4915,4916,[SEPA] yeah ma nigga1,E
4916,4917,i thought u were stacked with him ,O
4917,4918,THAT LEGION :DDDDDDDDDDDDDDDDDDDDDDDD [SEPA] :DDDDDDDDDDDDDDDDDDD [SEPA] Running doing nothing,O
4918,4919,?WHO?,O
4919,4920,EZ,I
4920,4921,no one will rekt [SEPA] rekt,O
4921,4922,rofl [SEPA] ROFL,O
4922,4923,"Profile is private [SEPA] And heard that often enough [SEPA] But hes here, fine now",O
4923,4924,our captain [SEPA] random pick,O
4924,4925,lool,O
4925,4926,eziest game [SEPA] DOOM U [SEPA] EZ,I
4926,4927,HOW [SEPA] YOU [SEPA] IN 2015 PICKET COTL MID,O
4927,4928,ff [SEPA] my team is very-very bad [SEPA] fuckin retards,E
4928,4929,Gege,O
4929,4930,alch too good,O
4930,4931,and u stole my hero,O
4931,4932,haha,O
4932,4933,lol wk,O
4933,4934,lol,O
4934,4935,6.2k [SEPA] is wear,O
4935,4936,rapemid incoming [SEPA] he said,E
4936,4937,gg,O
4937,4938,It's Jessica the Feminazi!,O
4938,4939,Eh I behind a bit,O
4939,4940,THEY SAID ALCHEMIST PICK AUTO WIN,O
4940,4941,u retards spent all game chasinbg me [SEPA] trying to gank,E
4941,4942,im strong!!! RAWR,O
4942,4943,raged,O
4943,4944,gg,O
4944,4945,doom,O
4945,4946,WK is in your forest guys!,O
4946,4947,u too :),O
4947,4948,lol,O
4948,4949,rep my,O
4949,4950,gg,O
4950,4951,:D,O
4951,4952,JOIN,O
4952,4953,GG,O
4953,4954,tower created,O
4954,4955,they have probleme,O
4955,4956,i will write an article about the greatest SF of all time,O
4956,4957,ezz mid,I
4957,4958,RIP,O
4958,4959,gtf rat,O
4959,4960,kill me pls,I
4960,4961,yummy?,O
4961,4962,dont mess with mirana,O
4962,4963,gl next,O
4963,4964,EZ MMR 4 U GUYZ,I
4964,4965,XD [SEPA] fail snatch -.-,O
4965,4966,the range israel,O
4966,4967,u diff me 1st and smoke after,O
4967,4968,YOU HOPPING ??,O
4968,4969,Help guys [SEPA] my daedalus [SEPA] doesnt build [SEPA] BUG ?: D,O
4969,4970,how long?,O
4970,4971,gg,O
4971,4972,cheeky cunt,E
4972,4973,xD,O
4973,4974,in short common idiots,E
4974,4975,[SEPA] So whats the plan [SEPA] do we end or what [SEPA] u FUCKING LIER,E
4975,4976,let's [SEPA] buy back to dead? [SEPA] when Jugg got MKB?,O
4976,4977,w8,A
4977,4978,haha,O
4978,4979,gg,O
4979,4980,surprised u didnt rq last game omni lol,O
4980,4981,no q [SEPA] just let him walk away [SEPA] u fuckingf spastic cunt,E
4981,4982,because u r crying,O
4982,4983,so long [SEPA],O
4983,4984,gg,O
4984,4985,Ez top,I
4985,4986,fug,O
4986,4987,ohhh,O
4987,4988,hood of defiance and glimmer woww [SEPA] : [SEPA] :D,O
4988,4989,gl hf,O
4989,4990,?,O
4990,4991,just crying,O
4991,4992,apparently [SEPA] the is retarded,E
4992,4993,NOT TODAY,O
4993,4994,esa legion ni bota completa,O
4994,4995,way to fucking throw the game,E
4995,4996,suck dick,E
4996,4997,u are gonna die,O
4997,4998,he us new,O
4998,4999,wtf! [SEPA] lol,O
4999,5000,GG,O
5000,5001,Ez ta,I
5001,5002,ez bot,I
5002,5003,LOL,O
5003,5004,for this shit,E
5004,5005,appaK,O
5005,5006,that was skill man,O
5006,5007,I thought game was going well until I realized sf is an accountbuyer xD,O
5007,5008,dont be so rude [SEPA] guys,O
5008,5009,"u can put me to rest [SEPA] but I will forever respawn [SEPA] shadowfriend666 is eternal [SEPA] well, I guess so is every other hero [SEPA] but... [SEPA] em... [SEPA] idk",O
5009,5010,he was waiting till i died to use it,O
5010,5011,Aw,O
5011,5012,so ill buy whatver,O
5012,5013,gg wp,O
5013,5014,gg,O
5014,5015,yes it was easy,O
5015,5016,ultra was near,O
5016,5017,I am drunk,O
5017,5018,why pause?,O
5018,5019,how u want us to wait with a fucker like u speaking,E
5019,5020,if everyone just calms the down [SEPA] and tries to win [SEPA] would be so much better,O
5020,5021,.exe [SEPA] It crashed,O
5021,5022,slark ur pretty boring [SEPA] go for someone else you,O
5022,5023,report pudge,A
5023,5024,haha riki :D,O
5024,5025,ur definitely FUCKIKGN AWFUIL,E
5025,5026,report riki,A
5026,5027,WOW [SEPA] 2 ULTIS,O
5027,5028,ggwp,O
5028,5029,[SEPA] EZ GAME [SEPA] EZ PTS,I
5029,5030,GGWP,O
5030,5031,Gg Wp [SEPA] :D,O
5031,5032,out [SEPA] played,O
5032,5033,lol,O
5033,5034,zzzzz,O
5034,5035,haha,O
5035,5036,he is goiod,O
5036,5037,g rosh and end,A
5037,5038,asshole,E
5038,5039,NO,O
5039,5040,he got face fucked by bara and sky roaming,E
5040,5041,no misses [SEPA] what is,O
5041,5042,took our first tower before our first kill [SEPA] this is a shambles,O
5042,5043,i stole ur farm :),O
5043,5044,LO,O
5044,5045,yea [SEPA] this is SEA,O
5045,5046,ya,O
5046,5047,HAPPY DEF,O
5047,5048,bl bl,O
5048,5049,kill yourself,E
5049,5050,NO PLEASE,O
5050,5051,w8,A
5051,5052,pick sf doom gyro?,O
5052,5053,ggwp,O
5053,5054,ROLFH,O
5054,5055,Zzzzzzz,O
5055,5056,wait,A
5056,5057,wat was he saying?,O
5057,5058,Ez [SEPA] ihihih,I
5058,5059,wk is teaching classes if ur interested,O
5059,5060,so sad :(,O
5060,5061,we 2k ....finally win a fucking 4k ?,E
5061,5062,gg,O
5062,5063,yo flarex whereare you [SEPA] is he raging?,O
5063,5064,focus doom [SEPA] ok [SEPA] astart [SEPA] stral [SEPA] not hex,O
5064,5065,25% ?'??,O
5065,5066,ddos,O
5066,5067,COMMEND ME,A
5067,5068,idk [SEPA] maybe? [SEPA] :D,O
5068,5069,DECENT INVOKER? [SEPA] HE STOODS THERE INVIS,O
5069,5070,blabla,O
5070,5071,ggwo [SEPA] end [SEPA],O
5071,5072,wait for bara,A
5072,5073,close gaem,O
5073,5074,U REMEMBER? [SEPA] WHAT I TOLD U [SEPA] KNIFE+TOILET+TEARS,O
5074,5075,like our np roam [SEPA] did anything [SEPA] sniped,O
5075,5076,noob,O
5076,5077,fukcing necroo,E
5077,5078,GG,O
5078,5079,still farming that biotch,E
5079,5080,GGWP,O
5080,5081,he give,O
5081,5082,WB!,O
5082,5083,throne means everything,O
5083,5084,G [SEPA] thanks,A
5084,5085,report doom,A
5085,5086,we are not lose ^^,O
5086,5087,[SEPA] I WILL COMMEND,A
5087,5088,ez,I
5088,5089,gl gl,O
5089,5090,ez,I
5090,5091,[SEPA] game,O
5091,5092,"really? [SEPA] wanna give m,e fat?",O
5092,5093,commended team,A
5093,5094,he is noob drow,E
5094,5095,WP,O
5095,5096,GeGe,O
5096,5097,wp,O
5097,5098,u.u,O
5098,5099,wtf,O
5099,5100,gg wp,O
5100,5101,WP,O
5101,5102,GG,O
5102,5103,GL,O
5103,5104,wr wtf,O
5104,5105,Ty [SEPA] LOL [SEPA] LOL [SEPA] haha,O
5105,5106,DECENT?,O
5106,5107,thanks,O
5107,5108,dat bash,O
5108,5109,ty,O
5109,5110,skatin on some thin ice,O
5110,5111,anyone here from the east coast?,O
5111,5112,lol,O
5112,5113,So much russian,E
5113,5114,but am and np have to ruin it,O
5114,5115,plus 18 [SEPA] thanks for the damage,O
5115,5116,rage my ass,E
5116,5117,bat > cores with bad positioning,O
5117,5118,easy,I
5118,5119,report,A
5119,5120,cant bak home?,O
5120,5121,LOL [SEPA] VOid,O
5121,5122,he has 5 mis [SEPA] mins,O
5122,5123,she hate herself [SEPA] she hate noob [SEPA],E
5123,5124,OK,O
5124,5125,Lol,O
5125,5126,report bane [SEPA] pls [SEPA] lh,A
5126,5127,for us it was,O
5127,5128,fuck you,E
5128,5129,Thanks for the game,O
5129,5130,ok [SEPA] Me too [SEPA] I stun [SEPA] At random place. [SEPA] i love my carries [SEPA] AGAIN,O
5130,5131,lol,O
5131,5132,trapping me in my own warsd [SEPA] thats dirty [SEPA] but pretty,E
5132,5133,?,O
5133,5134,WTf,O
5134,5135,EZ [SEPA] EZ [SEPA] EZ [SEPA] EZ [SEPA] FAIL MID,I
5135,5136,when retards want to carry = =),E
5136,5137,blink please,O
5137,5138,gg,O
5138,5139,u also for 5 mins,O
5139,5140,end it [SEPA] you siting base 60 min [SEPA] can you end now,A
5140,5141,12 x 2.54 [SEPA] retarded,E
5141,5142,report mirana,A
5142,5143,that snipe [SEPA] iimmma aim u mother of shit,E
5143,5144,cheers,O
5144,5145,y!,O
5145,5146,report pudge feeder pls,A
5146,5147,dont fking def.. [SEPA] we couild have gone t2 by t2..,E
5147,5148,all kamikaze,O
5148,5149,wp cm and ww,O
5149,5150,lol,O
5150,5151,wow that stun lock,O
5151,5152,^^,O
5152,5153,ez game,I
5153,5154,waot [SEPA] wait,A
5154,5155,its a trap,O
5155,5156,ez [SEPA] paper [SEPA] napkin slayer,I
5156,5157,haha [SEPA] hahahahaha [SEPA] DEF [SEPA] :)),O
5157,5158,yeap [SEPA] im serious [SEPA] come on,O
5158,5159,aight,O
5159,5160,why are u fucking talking fucking ember ?,E
5160,5161,THANKS FOR PAUSING,A
5161,5162,in lategame,O
5162,5163,gg [SEPA] gg wp,O
5163,5164,my have been for a few months now,O
5164,5165,gg,O
5165,5166,ez ez,I
5166,5167,?,O
5167,5168,dmkm,O
5168,5169,look at gpm [SEPA] idiot [SEPA] and xpm [SEPA] u me,E
5169,5170,WP,O
5170,5171,FUCK [SEPA] END US PLS,E
5171,5172,XD,O
5172,5173,instead of play,O
5173,5174,ggwp,O
5174,5175,get carried BTICH,E
5175,5176,yeah [SEPA] but,O
5176,5177,ty,O
5177,5178,omg gys,O
5178,5179,blink [SEPA] of an eye,O
5179,5180,gg [SEPA] end fast comenden invoker [SEPA] invoker pro,O
5180,5181,fucking laggg,E
5181,5182,yup,O
5182,5183,ty,O
5183,5184,please :(,O
5184,5185,yo,O
5185,5186,he's still being a bitch [SEPA] jussssssssssssst [SEPA] a little longer,E
5186,5187,only alch ?,O
5187,5188,so many wardz guys,O
5188,5189,I agree viper,O
5189,5190,do u guys like potato,O
5190,5191,alche just do ancients bro,O
5191,5192,it was obvius dat we dced or,O
5192,5193,gg [SEPA] haha [SEPA] gg,O
5193,5194,sec [SEPA] doom phone or something [SEPA] or this,O
5194,5195,end,O
5195,5196,rc ing,O
5196,5197,whole game [SEPA] 0 [SEPA] léti [SEPA] he thinsk he did,O
5197,5198,legion noob,E
5198,5199,look at this cunt talking [SEPA] faggot aye,E
5199,5200,wp wp,O
5200,5201,ez hardlane [SEPA] nno help,I
5201,5202,after slardar,O
5202,5203,:DDDD,O
5203,5204,gg,O
5204,5205,xD,O
5205,5206,gv u song,O
5206,5207,ez pudge,I
5207,5208,one crit hero,O
5208,5209,gg wp,O
5209,5210,y [SEPA] if he dont come b gg next :D,O
5210,5211,wtf?,O
5211,5212,how much longer? [SEPA] 30 [SEPA] 29 [SEPA] 28,O
5212,5213,GG [SEPA] DONT BUYBACK [SEPA] LIFESTEALER,O
5213,5214,feed courier,O
5214,5215,how many in this game bruh?,O
5215,5216,razor why you steal my damage bro,O
5216,5217,GG,O
5217,5218,zail,O
5218,5219,plz report him [SEPA] u might get him next game [SEPA] on ur team,A
5219,5220,=[,O
5220,5221,noobs,E
5221,5222,nice buy back ^^ [SEPA] WHAT YOU DOING UNDYING,O
5222,5223,im so proud of you storm =D [SEPA] you did it,O
5223,5224,wow ure mad,O
5224,5225,u know somethings wrong when ur has more dmg from duel wins than we do,O
